title,color,type,avg_rating,num_of_ratings,selling_price,MRP
Boult Audio AirBass Xpods TWS Earbuds with 20H Playtime...,Black, True Wireless,3.7,6288,1299,4999
"FIER FGN-K1B,K1W Pack 2bluetooth,headphone Bluetooth He...",Black, White,4,333036,217,799
Boult Audio ProBass Curve Neckband Bluetooth Headset,Red, Black,3.3,1842,809,3499
N2B MAGNET-02 PACK OF 2 Bluetooth Headset,Black, True Wireless,3.5,573,254,1998
Aroma NB133B Straight Wireless Earbuds Bluetooth Headse...,Black, True Wireless,4,21398,699,2499
Truke Buds S1 Bluetooth Headset,Black, True Wireless,3.6,2567,1399,3999
Bhanu i7S Twins Earbuds Headphone with Charging box Min...,White, True Wireless,4,63970,449,1499
realme Buds Q2 Neo with Environment Noise Cancellation ...,Blue, True Wireless,3.8,631,1599,2499
Aroma NB120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Black, In the Ear,4,9619,379,1999
U&I Crash 30Hrs MusicTime WirelessNeckband with Call Vi...,Black, In the Ear,4.1,82872,449,2499
realme Buds Air 2 with Active Noise Cancellation (ANC) ...,Closer White, True Wireless,3.6,550,3299,4999
BRD BLUETOOTHHEADSET-A25 Bluetooth Headset,White, True Wireless,3.7,92346,260,999
Boult Audio AirBass Combuds Bluetooth Headset,White, True Wireless,3.9,217931,1299,4999
Mivi DuoPods M20 True Wireless Bluetooth Headset,Blue, True Wireless,3.8,1748,799,2999
TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Blue, In the Ear,4.1,2472,599,3850
U&I Alarm Series 40Hrs Music Time Wireless Neckband Ear...,Black, In the Ear,3.6,1904,495,2999
FIER MGNT_k1-2 Bluetooth Headset Bluetooth without Mic ...,Black, True Wireless,4,0,228,999
Noise Air Buds Mini Truly Wireless Bluetooth Headset,Pearl White, True Wireless,3.9,84624,1424,2999
Truke Buds Q1 with Environmental Noise Cancellation(ENC...,Blue, True Wireless,4,26069,1199,3499
Mi Basic Wired Headset,Blue, Black,4.3,712789,429,599
Wings Phantom Pro Gaming TWS with 30 Hrs Playtime Bluet...,Black, True Wireless,4,1934,2493,5499
Mivi Duopods F30 with 42 hours battery Fast Charging TW...,Red, True Wireless,3.9,43126,999,2999
