title,brand,color,type,avg_rating,num_of_ratings,selling_price,MRP
Wings Phantom Pro Gaming,Wings Phantom,Black,True Wireless,4,1934,2493,5499
OPPO Enco Buds,OPPO,White,True Wireless,4.2,34075,1799,3999
DIZO by realme TechLife,DIZO,Onyx,True Wireless,4.3,11557,1599,2999
Mivi Collar Classic Neckband,Mivi,Blue,In the Ear,3.9,99486,699,2499
Aroma NB120 Tehalka,Aroma,Black,In the Ear,3.9,10398,379,1999
Aroma NB119 Titanium,Aroma,Black,In the Ear,4.1,14148,649,2499
AXYRO SN-K1 356 Bluetooth,AXYRO ,Black,In the Ear,3.8,999,152,999
boAt Rockerz 255F Pro+,boAt,Active Black,In the Ear,4.2,219374,1169,3990
Boult Audio ProBass Curve,Boult Audio,Black,On the Ear,4,333036,999,3499
DIZO by realme TechLife,DIZO,Black,True Wireless,4,30895,999,2499
Boult Audio ProBass Curve,Boult Audio,Blue,On the Ear,4,333036,799,3499
JBL C150SI Wired Headset,JBL,Black,In the Ear,4.2,334732,649,1399
Enacfire E60 Bullets Wireless,Enacfire,Reverb black,In the Ear,3.7,10419,599,3800
NIRUM HBS-730 Wireless/bluetooth For,NIRUM,Multicolor,In the Ear,4.1,28686,220,699
Noise Buds VS102 Truly,Noise,Jet Black,True Wireless,3.9,13327,1282,2999
U&I Fighter Series Deep,U&I,Black,In the Ear,4,2834,399,1999
Aroma NB119 Advance,Aroma,Yellow,On the Ear,4.2,1299042,533,2499
boAt Rockerz 235v2,boAt,Red,In the Ear,4.1,5803,999,2990
