title,brand,color,type,avg_rating,num_of_ratings,selling_price,MRP
Aroma NB119D Dream,Aroma,Black,In the Ear,4.1,166582,599,1999
Boult Audio Bassbuds X1,Boult Audio,Black,In the Ear,3.9,35280,349,999
Boult Audio AirBass Xpods,Boult Audio,Black,True Wireless,3.7,6288,1299,4999
"FIER FGN-K1B,K1W Pack 2bluetooth,headphone",FIER,Black,On the Ear,4,333036,217,799
Boult Audio ProBass Curve,Boult Audio,Red,On the Ear,3.3,1842,809,3499
N2B MAGNET-02 PACK OF,N2B,Black,True Wireless,3.5,573,254,1998
Aroma NB133B Straight Wireless,Aroma,Black,True Wireless,4,21398,699,2499
Truke Buds S1 Bluetooth,Truke,Black,True Wireless,3.6,2567,1399,3999
Bhanu i7S Twins Earbuds,Bhanu ,White,True Wireless,4,63970,449,1499
realme Buds Q2 Neo,realme,Blue,True Wireless,3.8,631,1599,2499
Aroma NB120B Dhoom,Aroma,Black,In the Ear,4,9619,379,1999
U&I Crash 30Hrs MusicTime,U&I,Black,In the Ear,4.1,82872,449,2499
realme Buds Air 2,realme,Closer White,True Wireless,3.6,550,3299,4999
BRD BLUETOOTHHEADSET-A25 Bluetooth Headset,BRD,White,True Wireless,3.7,92346,260,999
Boult Audio AirBass Combuds,Boult Audio,White,True Wireless,3.9,217931,1299,4999
Mivi DuoPods M20 True,Mivi,Blue,True Wireless,3.8,1748,799,2999
TECHFIRE Fire 500v2 Neckband,TECHFIRE,Blue,In the Ear,4.1,2472,599,3850
U&I Alarm Series 40Hrs,U&I,Black,In the Ear,3.6,1904,495,2999
FIER MGNT_k1-2 Bluetooth Headset,FIER,Black,True Wireless,4,0,228,999
Noise Air Buds Mini,Noise,Pearl White,True Wireless,3.9,84624,1424,2999
Truke Buds Q1,Truke,Blue,True Wireless,4,26069,1199,3499
Mi Basic Wired Headset,Mi Basic,Blue,On the Ear,4.3,712789,429,599
Wings Phantom Pro Gaming,Wings Phantom,Black,True Wireless,4,1934,2493,5499
Mivi Duopods F30,Mivi,Red,True Wireless,3.9,43126,999,2999
KBOOM New Arival HBS-730,KBOOM,Multicolor,In the Ear,3.4,7605,260,1800
U&I Alarm Series 40Hrs,U&I,Red,In the Ear,4.1,2472,495,2999
Aroma NB120 Tehalka,Aroma,Black,In the Ear,3.9,10398,379,1999
boAt Rockerz 333 Upto,boAt,Navy Blue,In the Ear,4,93468,1499,3990
FIER Headset in Ear,FIER,White,In the Ear,3.5,1043,155,499
Truke BTG 1 Gaming,Truke,Black,True Wireless,4,6100,1599,3499
