title,brand,color,type,avg_rating,num_of_ratings,selling_price,MRP
Boult Audio ProBass Curve,Boult Audio,Black,In the Ear,4,333036,999,3499
boAt BassHeads 220 Wired,boAt,Red,In the Ear,4.2,824592,404,999
Ambrane NeoBuds-33 Bluetooth Headset,Ambrane,Indigo Blue,True Wireless,3.9,4849,985,1799
boAt Rockerz 333 Pro,boAt,Navy Blue,In the Ear,4.3,1752,1799,2990
N2B MAGNET-02 PACK OF,N2B,Black,True Wireless,3.3,1842,254,1998
boAt Rockerz 450,boAt,Luscious Black,On the Ear,4.3,291076,1299,3990
TIGENECY i7S Single 2,TIGENECY i7S,White,True Wireless,3.5,85,221,999
boAt Rockerz 450,boAt,Hazel Beige,On the Ear,4.3,291076,1299,3990
Ubon Passion Series CL-75,Ubon Passion,Black,In the Ear,3.7,31,589,1499
boAt BassHeads 100 Wired,boAt,Furious Red,In the Ear,4.3,1049774,399,999
U&I Prank 30Hrs Music,U&I Prank,Black,In the Ear,4.4,81,439,2199
TECHFIRE Fire 500v2 Neckband,TECHFIRE Fire,Green,In the Ear,3.8,1748,599,3850
Aroma NB119 Advance,Aroma,Yellow,In the Ear,4,2834,533,2499
Platina 1000 Bluetooth Headset,Platina 1000,Multicolor,In the Ear,3.4,3550,245,999
XB9 bluetooth neckband RED,XB9 bluetooth,Red,In the Ear,3.3,56,300,999
Nothing ear (1) Bluetooth,Nothing ear,White,True Wireless,4.2,14250,5999,7299
"FIER FGN-K1B,K1W Pack 2bluetooth,headphone",FIER,Black,In the Ear,3.7,6288,217,799
boAt Rockerz 255F Pro,boAt,Navy Blue,In the Ear,4.2,229212,1149,3499
Mi Basic Wired Headset,Mi Basic,Black,In the Ear,4.3,712789,429,599
Aroma NB119 Pro Belief,Aroma,Black,In the Ear,4,41625,439,1499
U&I Fighter Series Deep,U&I Fighter,Black,In the Ear,3.9,13327,399,1999
Truke Buds S1 Bluetooth,Truke Buds,Blue,True Wireless,4,21398,1399,3999
Noise Air Buds Mini,Noise Air,Pale Blue,True Wireless,3.9,84624,1499,2999
DAYNEO TwsL21 Mini Wireless,DAYNEO,Black,True Wireless,3.7,1762,664,1999
WeCool Moonwalk Mini in,WeCool,Black,In the Ear,3.9,18893,849,1999
Boult Audio AirBass Xpods,Boult Audio,Black,True Wireless,3.9,35280,1299,4999
PHILIPS SHE1505BK/94 Rich Bass,PHILIPS,Black,In the Ear,4.1,20960,299,399
NOYMI Bluetooth Wireless Noise,NOYMI,Black,In the Ear,3.8,13,299,1199
Boult Audio FluidX Bluetooth,Boult Audio,Black,On the Ear,4.1,3030,1199,4999
boAt BassHeads 220 Super,boAt,Neon Lime,In the Ear,4.2,824592,399,999
realme Buds Classic RMA2001,realme,White,In the Ear,4.2,105190,399,699
P3A K1 & Red,P3A,Red,In the Ear,3.6,330,257,1998
Wings Phantom Pro Gaming,Wings Phantom,Black,True Wireless,4,1934,2493,5499
Aroma NB119 Rock,Aroma,Black,In the Ear,4,2909,669,2999
INFINITY (JBL) Glide N120,JBL,Black,In the Ear,4.1,122548,1499,3999
boAt Rockerz 235v2 Bluetooth,boAt,Black,In the Ear,4.2,1299042,999,2990
Aroma NB120 Tehalka,Aroma,Black,In the Ear,3.9,10398,379,1999
BRD BLUETOOTHHEADSET-A37 Bluetooth Headset,BRD,White,In the Ear,3.7,23,240,999
boAt Rockerz 255F Pro,boAt,Blazing Yellow,In the Ear,4.2,229212,1149,3249
realme Buds 2 Wired,realme,Orange,In the Ear,4.3,535144,599,799
Boult Audio ProBass Curve,Boult Audio,Black,In the Ear,4,333036,999,3499
Noise Buds Prima,Noise,Hope Blue,True Wireless,3.8,417,1799,5999
boAt BassHeads 100 Wired,boAt,Taffy Pink,In the Ear,4.3,1049774,399,999
U&I Bigger Series Neckband,U&I,Black,In the Ear,4,1325,699,3499
Enacfire E60 Bullets Wireless,Enacfire,Reverb black,In the Ear,4.4,528,599,3800
DEFY CrestX 16,DEFY,Electric Blue,In the Ear,4.2,229212,699,1999
boAt Rockerz 255F Pro,boAt,Raging Red,In the Ear,3.8,60,1149,3499
Ruhi Collection Best Collection,Ruhi,White,In the Ear,3.9,35280,169,999
Boult Audio AirBass Xpods,Boult Audio,Black,True Wireless,3.4,367,1299,4999
BLYTHE KAJU Bluetooth Mini,BLYTHE,Black,True Wireless,3.7,1163,179,999
Aroma NB136A Rifle Gaming,Aroma,Black,True Wireless,4,30895,854,2499
DIZO by realme TechLife,DIZO by,White,True Wireless,4,2834,999,2499
Aroma NB119 Advance,Aroma,Yellow,True Wireless,3.7,134,533,2499
yRut NEW SOON_NY SUPER,yRut,Blue,In the Ear,4.3,114661,498,999
boAt BassHeads 172 Wired,boAt,Jazzy Blue,In the Ear,4,25305,499,1299
Boult Audio Pro Bass,Boult Audio,Grey,In the Ear,3.3,1842,1099,4999
N2B MAGNET-02 PACK OF,N2B,Black,True Wireless,4,70713,254,1998
SAMSUNG Level U2,SAMSUNG,Blue,In the Ear,4.2,258319,2199,2999
realme Buds Wireless Bluetooth,realme,Yellow,In the Ear,4,4948,1780,1999
