title,brand,color,type,avg_rating,num_of_ratings,selling_price,MRP
realme Buds Q2,realme,Black,In the Ear,3.9,13327,2499,3499
U&I Fighter Series Deep,U&I Fighter,Black,In the Ear,4.2,258319,399,1999
Enacfire E60 Bullets Wireless,Enacfire E60,Bass Blue,In the Ear,3.6,11358,599,3850
realme Buds Wireless Bluetooth,realme,Green,In the Ear,3.9,18893,1765,1999
VR WORLD Bt01 Blutooth,VR WORLD,Black,In the Ear,3.3,188,181,1190
WeCool Moonwalk Mini in,WeCool Moonwalk,Black,True Wireless,4.3,1049774,849,1999
CADNUT HBS 730 Wireless,CADNUT,Black,True Wireless,4.1,1089,238,999
boAt BassHeads 100 Wired,boAt,White,In the Ear,3.7,6288,399,839
Aroma NB119 Champion,Aroma,Blue,In the Ear,4,0,649,2999
"FIER FGN-K1B,K1W Pack 2bluetooth,headphone",FIER,Black,True Wireless,5,0,217,799
Ucool Prime 48 Hours,Ucool,Black,In the Ear,4,805,599,1999
Boult Audio ProBass Escape,Boult Audio,Black,In the Ear,3.9,13427,899,3999
INFINITY (JBL) Glide N120,JBL,Black,True Wireless,4.1,122548,1499,3999
Wings Phantom Pro Gaming,Wings Phantom,Black,True Wireless,4,1934,2493,5499
BRD BLUETOOTHHEADSET-A33 Bluetooth Headset,BRD,White,True Wireless,3.5,1269,260,999
boAt Airdopes 402 Bluetooth,boAt,Bold Blue,True Wireless,3.9,202799,1599,5990
Noise Buds Prima,Noise,Simply Beige,True Wireless,3.8,417,1799,5999
Aroma NB120 Tehalka,Aroma,Black,In the Ear,3.9,10398,379,1999
boAt Bassheads 242 Wired,boAt,Blue,In the Ear,4.3,405112,549,1490
Boult Audio AirBass Xpods,Boult Audio,Blue,True Wireless,3.9,35280,1299,4999
boAt Rockerz 510 Super,boAt,Furious blue,True Wireless,4.4,151981,1399,3490
Boult Audio ProBass Curve,Boult Audio,Black,True Wireless,4,333036,999,3499
boAt Rockerz 255F Pro/,boAt,Active Black Indi,In the Ear,3.9,239,1149,3499
CADNUT Wireless Earphone G,CADNUT,Blue,True Wireless,3.6,1318,474,1499
"Microflash Touch, Voice Control-LED",Microflash,Black,True Wireless,4,2014,1199,2499
N2B MAGNET-02 PACK OF,N2B,Black,True Wireless,3.3,1842,254,1998
OnePlus Buds Bluetooth Headset,OnePlus,Grey,True Wireless,4.1,31872,4990,1999
DEFY CrestX 16,DEFY,Active Black,In the Ear,4.4,528,699,999
iBAss 3.5MM Deep Bass,iBAss,White,In the Ear,4.1,375,259,1499
Ubon Passion Series CL-75,Ubon,Black,In the Ear,3.7,31,589,899
VlVO High Bass Earphones,VlVO,White,In the Ear,3.4,327,179,1995
Grostar TWS-Mini True Wireless,Grostar,Black,True Wireless,3.8,449,649,1299
Hypex Stylish Wired Headphone,Hypex Stylish,Multicolor,On the Ear,3.3,69,199,2499
Aroma NB119 Advance,Aroma,Yellow,On the Ear,4,2834,533,599
realme Buds 2 Neo,realme,Black,In the Ear,4.2,19975,499,2499
Mivi Collar Classic Neckband,Mivi,Red,In the Ear,3.9,99486,699,2665
Boult Audio AirBass Monopod,Boult Audio,Black,True Wireless,3.8,75014,580,4999
Boult Audio AirBass Xpods,Boult Audio,Black,True Wireless,3.9,35280,1299,2490
boAt BassHeads 900 Super,boAt,Pearl White,On the Ear,4.4,238169,699,2499
RoyalRich LED Display TWS,RoyalRich,Black,True Wireless,4,306,999,2999
JBL Tune 125BT Bluetooth,JBL,Black,In the Ear,3.8,13159,1614,1999
U&I Fighter Series Deep,U&I Fighter,Black,In the Ear,3.9,13327,399,1200
YODNSO 42472 Wired Headset,YODNSO,Black,In the Ear,3.8,107,148,2499
Noise Nerve Neckband Bluetooth,Noise,Stone Blue,In the Ear,4,4902,999,4999
